mass_A
t	x	y
0,000000000E0	-1,655984951E2	2,516859835E1
4,000000000E-2	-1,657420500E2	2,507289509E1
8,000000000E-2	-1,658138275E2	2,512074672E1
1,200000000E-1	-1,656224210E2	2,526430160E1
1,600000000E-1	-1,655506435E2	2,528822741E1
2,000000000E-1	-1,655984951E2	2,526430160E1
2,400000000E-1	-1,654549403E2	2,516859835E1
2,800000000E-1	-1,650242756E2	2,512074672E1
3,200000000E-1	-1,647132401E2	2,519252416E1
3,600000000E-1	-1,642825754E2	2,526430160E1
4,000000000E-1	-1,636605043E2	2,516859835E1
4,400000000E-1	-1,628948782E2	2,533607904E1
4,800000000E-1	-1,621771038E2	2,555141136E1
5,200000000E-1	-1,614354036E2	2,567104043E1
5,600000000E-1	-1,602151872E2	2,574281787E1
6,000000000E-1	-1,590906739E2	2,574281787E1
6,400000000E-1	-1,582054188E2	2,555141136E1
6,800000000E-1	-1,568177217E2	2,555141136E1
7,200000000E-1	-1,551189889E2	2,581459531E1
7,600000000E-1	-1,536834401E2	2,574281787E1
8,000000000E-1	-1,521761139E2	2,571889205E1
8,400000000E-1	-1,504295295E2	2,586244693E1
8,800000000E-1	-1,487068709E2	2,614955669E1
9,200000000E-1	-1,466731768E2	2,626918576E1
9,600000000E-1	-1,446634085E2	2,631703738E1
1,000000000E0	-1,425818627E2	2,612563088E1
1,040000000E0	-1,404285395E2	2,605385344E1
1,080000000E0	-1,378206259E2	2,600600181E1
1,120000000E0	-1,355955253E2	2,607777925E1
1,160000000E0	-1,330833149E2	2,605385344E1
1,200000000E0	-1,303079205E2	2,614955669E1
1,240000000E0	-1,275325262E2	2,600600181E1
1,280000000E0	-1,244939479E2	2,605385344E1
1,320000000E0	-1,216228503E2	2,634096320E1
1,360000000E0	-1,184885687E2	2,631703738E1
1,400000000E0	-1,150671774E2	2,634096320E1
1,440000000E0	-1,118611184E2	2,626918576E1
1,480000000E0	-1,083200981E2	2,626918576E1
1,520000000E0	-1,047312261E2	2,631703738E1
1,560000000E0	-1,009987992E2	2,648451808E1
1,600000000E0	-9,738600139E1	2,658022133E1
1,640000000E0	-9,324683569E1	2,646059226E1
1,680000000E0	-8,939477975E1	2,674770202E1
1,720000000E0	-8,542309474E1	2,684340528E1
1,760000000E0	-8,102074509E1	2,681947946E1
1,800000000E0	-7,685765357E1	2,677162784E1
1,840000000E0	-7,233567486E1	2,727406992E1
1,880000000E0	-6,776584451E1	2,725014410E1
1,920000000E0	-6,314816254E1	2,705873760E1
1,960000000E0	-5,833907407E1	2,727406992E1
2,000000000E0	-5,357783722E1	2,725014410E1
2,040000000E0	-4,852949061E1	2,741762480E1
2,080000000E0	-4,360077307E1	2,734584736E1
2,120000000E0	-3,821746507E1	2,756117968E1
2,160000000E0	-3,281023127E1	2,732192154E1
2,200000000E0	-2,761832978E1	2,775258618E1
2,240000000E0	-2,206754109E1	2,784828944E1
2,280000000E0	-1,594253288E1	2,789614106E1
2,320000000E0	-1,079848302E1	2,777651200E1
2,360000000E0	-4,769178064E0	2,801577013E1
