mass_A
t	x	y
0,000000000E0	-1,702940082E2	2,827277290E1
4,000000000E-2	-1,704022855E2	2,892243649E1
8,000000000E-2	-1,701857310E2	2,865174333E1
1,200000000E-1	-1,696443446E2	2,854346606E1
1,600000000E-1	-1,691029583E2	2,859760470E1
2,000000000E-1	-1,686698493E2	2,827277290E1
2,400000000E-1	-1,681284629E2	2,886829786E1
2,800000000E-1	-1,674787993E2	2,859760470E1
3,200000000E-1	-1,672081062E2	2,865174333E1
3,600000000E-1	-1,661253335E2	2,865174333E1
4,000000000E-1	-1,646635905E2	2,919312965E1
4,400000000E-1	-1,636890951E2	2,897657512E1
4,800000000E-1	-1,629311542E2	2,908485239E1
5,200000000E-1	-1,617401043E2	2,892243649E1
5,600000000E-1	-1,602783612E2	2,897657512E1
6,000000000E-1	-1,590873113E2	2,881415923E1
6,400000000E-1	-1,579504000E2	2,903071376E1
6,800000000E-1	-1,557848547E2	2,897657512E1
7,200000000E-1	-1,542148344E2	2,924726828E1
7,600000000E-1	-1,536734481E2	2,924726828E1
8,000000000E-1	-1,514537641E2	2,908485239E1
8,400000000E-1	-1,499378824E2	2,935554555E1
8,800000000E-1	-1,482595848E2	2,957210008E1
9,200000000E-1	-1,459316236E2	2,951796145E1
9,600000000E-1	-1,441450488E2	2,946382281E1
1,000000000E0	-1,418712262E2	2,924726828E1
1,040000000E0	-1,402470672E2	2,951796145E1
1,080000000E0	-1,381897992E2	2,935554555E1
1,120000000E0	-1,360783925E2	2,951796145E1
1,160000000E0	-1,335880154E2	2,951796145E1
1,200000000E0	-1,315848860E2	2,968037734E1
1,240000000E0	-1,293110635E2	2,940968418E1
1,280000000E0	-1,268206864E2	2,897657512E1
1,320000000E0	-1,244385866E2	2,946382281E1
1,360000000E0	-1,219482095E2	2,940968418E1
1,400000000E0	-1,195661096E2	2,913899102E1
1,440000000E0	-1,161553758E2	2,930140692E1
1,480000000E0	-1,143688009E2	2,903071376E1
1,520000000E0	-1,113370375E2	2,930140692E1
1,560000000E0	-1,084135514E2	2,919312965E1
1,600000000E0	-1,057066197E2	2,913899102E1
1,640000000E0	-1,019710541E2	2,930140692E1
1,680000000E0	-9,877687478E1	2,908485239E1
1,720000000E0	-9,634063633E1	2,930140692E1
1,760000000E0	-9,276748658E1	2,897657512E1
1,800000000E0	-8,984400043E1	2,930140692E1
1,840000000E0	-8,627085069E1	2,957210008E1
1,880000000E0	-8,361805770E1	2,946382281E1
1,920000000E0	-7,993663070E1	2,951796145E1
1,960000000E0	-7,685072865E1	3,005934777E1
2,000000000E0	-7,381896523E1	2,978865461E1
2,040000000E0	-7,019167686E1	2,995107051E1
2,080000000E0	-6,661852712E1	3,011348640E1
2,120000000E0	-6,347848644E1	3,016762504E1
2,160000000E0	-5,963464353E1	3,011348640E1
2,200000000E0	-5,627804832E1	3,022176367E1
2,240000000E0	-5,297559174E1	3,043831820E1
2,280000000E0	-4,875277841E1	3,027590230E1
2,320000000E0	-4,528790594E1	3,038417957E1
2,360000000E0	-4,128164714E1	3,054659546E1
2,400000000E0	-3,749194287E1	3,081728863E1
2,440000000E0	-3,418948629E1	3,081728863E1
2,480000000E0	-3,045392065E1	3,103384316E1
2,520000000E0	-2,628524595E1	3,130453632E1
2,560000000E0	-2,217070989E1	3,092556589E1
2,600000000E0	-1,838100562E1	3,173764538E1
2,640000000E0	-1,437474682E1	3,195419991E1
2,680000000E0	-1,074745845E1	3,179178401E1
2,720000000E0	-6,632922380E0	3,200833854E1
2,760000000E0	-2,897356742E0	3,195419991E1
2,800000000E0	1,325456588E0	3,233317033E1
