mass_A
t	x	y
0,000000000E0	-1,683800762E2	2,162073750E1
4,000000000E-2	-1,684442483E2	2,181325390E1
8,000000000E-2	-1,681875598E2	2,202716102E1
1,200000000E-1	-1,681661691E2	2,228384955E1
1,600000000E-1	-1,682731226E2	2,243358453E1
2,000000000E-1	-1,677811363E2	2,241219382E1
2,400000000E-1	-1,675244477E2	2,239080311E1
2,800000000E-1	-1,670538521E2	2,249775667E1
3,200000000E-1	-1,660698794E2	2,256192880E1
3,600000000E-1	-1,656206744E2	2,298974303E1
4,000000000E-1	-1,648078274E2	2,292557089E1
4,400000000E-1	-1,640805432E2	2,311808729E1
4,800000000E-1	-1,636099476E2	2,279722662E1
5,200000000E-1	-1,624548492E2	2,298974303E1
5,600000000E-1	-1,610644529E2	2,324643156E1
6,000000000E-1	-1,598024010E2	2,346033868E1
6,400000000E-1	-1,582194883E2	2,328921299E1
6,800000000E-1	-1,569574363E2	2,337477583E1
7,200000000E-1	-1,553103516E2	2,348172939E1
7,600000000E-1	-1,538771739E2	2,333199441E1
8,000000000E-1	-1,522728706E2	2,363146437E1
8,400000000E-1	-1,497915481E2	2,386676219E1
8,800000000E-1	-1,482086354E2	2,382398077E1
9,200000000E-1	-1,464759878E2	2,395232504E1
9,600000000E-1	-1,444224795E2	2,388815290E1
1,000000000E0	-1,422620177E2	2,461543709E1
1,040000000E0	-1,400373837E2	2,463682780E1
1,080000000E0	-1,380908290E2	2,452987424E1
1,120000000E0	-1,359731485E2	2,508603274E1
1,160000000E0	-1,333848725E2	2,508603274E1
1,200000000E0	-1,309463314E2	2,515020487E1
1,240000000E0	-1,286575253E2	2,515020487E1
1,280000000E0	-1,253205743E2	2,519298629E1
1,320000000E0	-1,230531589E2	2,525715843E1
1,360000000E0	-1,211707763E2	2,549245625E1
1,400000000E0	-1,176626996E2	2,536411198E1
1,440000000E0	-1,151599864E2	2,519298629E1
1,480000000E0	-1,119727704E2	2,572775408E1
1,520000000E0	-1,092347594E2	2,611278688E1
1,560000000E0	-1,064967483E2	2,596305190E1
1,600000000E0	-1,029672810E2	2,581331692E1
1,640000000E0	-1,003790049E2	2,568497265E1
1,680000000E0	-9,691370967E1	2,579192621E1
1,720000000E0	-9,394040079E1	2,634808470E1
1,760000000E0	-9,058205912E1	2,611278688E1
1,800000000E0	-8,724510815E1	2,596305190E1
1,840000000E0	-8,348034296E1	2,574914479E1
1,880000000E0	-7,995087559E1	2,515020487E1
1,920000000E0	-7,652836178E1	2,574914479E1
1,960000000E0	-7,355505290E1	2,529993985E1
2,000000000E0	-6,940525491E1	2,596305190E1
2,040000000E0	-6,598274109E1	2,585609834E1
2,080000000E0	-6,211102235E1	2,587748906E1
2,120000000E0	-5,811095933E1	2,581331692E1
2,160000000E0	-5,434619414E1	2,579192621E1
2,200000000E0	-5,056003823E1	2,592027048E1
2,240000000E0	-4,598242601E1	2,604861475E1
2,280000000E0	-4,245295864E1	2,564219123E1
2,320000000E0	-3,813203495E1	2,568497265E1
2,360000000E0	-3,415336265E1	2,574914479E1
2,400000000E0	-3,028164390E1	2,583470763E1
2,440000000E0	-2,602489235E1	2,598444261E1
2,480000000E0	-2,185370364E1	2,572775408E1
2,520000000E0	-1,770390564E1	2,562080052E1
2,560000000E0	-1,342576338E1	2,613417759E1
2,600000000E0	-9,511263205E0	2,619834972E1
2,640000000E0	-4,912260271E0	2,621974044E1
2,680000000E0	-2,490852025E-1	2,613417759E1
