mass_A
t	x	y
0,000000000E0	-1,701319447E2	2,490310864E1
4,000000000E-2	-1,700354858E2	2,475842043E1
8,000000000E-2	-1,692638154E2	2,417966759E1
1,200000000E-1	-1,694085036E2	2,485487923E1
1,600000000E-1	-1,686850626E2	2,495133804E1
2,000000000E-1	-1,704213211E2	2,471019102E1
2,400000000E-1	-1,699872564E2	2,485487923E1
2,800000000E-1	-1,681063097E2	2,533717326E1
3,200000000E-1	-1,670452629E2	2,533717326E1
3,600000000E-1	-1,669488041E2	2,524071446E1
4,000000000E-1	-1,663218218E2	2,495133804E1
4,400000000E-1	-1,649713985E2	2,499956744E1
4,800000000E-1	-1,643444163E2	2,514425565E1
5,200000000E-1	-1,627528460E2	2,514425565E1
5,600000000E-1	-1,618364873E2	2,514425565E1
6,000000000E-1	-1,607754405E2	2,499956744E1
6,400000000E-1	-1,595697054E2	2,504779684E1
6,800000000E-1	-1,580263645E2	2,495133804E1
7,200000000E-1	-1,571100059E2	2,499956744E1
7,600000000E-1	-1,559525002E2	2,524071446E1
8,000000000E-1	-1,549879121E2	2,451727341E1
8,400000000E-1	-1,538304065E2	2,461373222E1
8,800000000E-1	-1,521906068E2	2,490310864E1
9,200000000E-1	-1,505990365E2	2,514425565E1
9,600000000E-1	-1,487663192E2	2,456550282E1
1,000000000E0	-1,478017311E2	2,490310864E1
1,040000000E0	-1,466924548E2	2,499956744E1
1,080000000E0	-1,445221317E2	2,524071446E1
1,120000000E0	-1,426411850E2	2,442081461E1
1,160000000E0	-1,416283675E2	2,456550282E1
1,200000000E0	-1,395062738E2	2,417966759E1
1,240000000E0	-1,383969975E2	2,417966759E1
1,280000000E0	-1,366607390E2	2,446904401E1
1,320000000E0	-1,353585451E2	2,432435580E1
1,360000000E0	-1,335740572E2	2,461373222E1
1,400000000E0	-1,314519635E2	2,451727341E1
1,440000000E0	-1,295227874E2	2,446904401E1
1,480000000E0	-1,273042349E2	2,437258520E1
1,520000000E0	-1,248927647E2	2,422789700E1
1,560000000E0	-1,231082768E2	2,432435580E1
1,600000000E0	-1,212273301E2	2,384206177E1
1,640000000E0	-1,192016952E2	2,379383237E1
1,680000000E0	-1,176583543E2	2,403497938E1
1,720000000E0	-1,149092783E2	2,384206177E1
1,760000000E0	-1,131247904E2	2,379383237E1
1,800000000E0	-1,109062379E2	2,403497938E1
1,840000000E0	-1,085912265E2	2,389029117E1
1,880000000E0	-1,067585092E2	2,302216192E1
1,920000000E0	-1,045399567E2	2,321507953E1
1,960000000E0	-1,025625512E2	2,326330894E1
2,000000000E0	-1,005369162E2	2,340799715E1
2,040000000E0	-9,860774012E1	2,335976774E1
2,080000000E0	-9,629272878E1	2,326330894E1
2,120000000E0	-9,412240565E1	2,311862073E1
2,160000000E0	-9,185562371E1	2,345622655E1
2,200000000E0	-8,982998879E1	2,369737356E1
2,240000000E0	-8,761143626E1	2,340799715E1
2,280000000E0	-8,539288372E1	2,350445595E1
2,320000000E0	-8,317433119E1	2,374560297E1
2,360000000E0	-8,090754925E1	2,360091476E1
2,400000000E0	-7,897837313E1	2,398674998E1
2,440000000E0	-7,656690299E1	2,403497938E1
2,480000000E0	-7,410720344E1	2,398674998E1
2,520000000E0	-7,179219210E1	2,437258520E1
2,560000000E0	-6,967009837E1	2,393852058E1
2,600000000E0	-6,721039882E1	2,427612640E1
2,640000000E0	-6,479892867E1	2,389029117E1
2,680000000E0	-6,253214674E1	2,369737356E1
2,720000000E0	-6,041005301E1	2,374560297E1
2,760000000E0	-5,828795928E1	2,326330894E1
2,800000000E0	-5,558711272E1	2,302216192E1
2,840000000E0	-5,312741317E1	2,321507953E1
2,880000000E0	-5,076417242E1	2,220226207E1
2,920000000E0	-4,869030810E1	2,220226207E1
2,960000000E0	-4,642352616E1	2,215403267E1
3,000000000E0	-4,425320303E1	2,200934446E1
3,040000000E0	-4,169704468E1	2,157527983E1
3,080000000E0	-3,962318035E1	2,123767401E1
3,120000000E0	-3,716348080E1	2,070715058E1
3,160000000E0	-3,562013991E1	2,061069178E1
3,200000000E0	-3,291929334E1	2,027308596E1
3,240000000E0	-3,055605260E1	1,998370954E1
3,280000000E0	-2,828927066E1	1,993548014E1
3,320000000E0	-2,597425932E1	1,983902133E1
3,360000000E0	-2,356278918E1	1,954964491E1
3,400000000E0	-2,139246605E1	1,945318611E1
3,440000000E0	-1,878807829E1	1,935672730E1
3,480000000E0	-1,632837874E1	1,926026849E1
3,520000000E0	-1,425451441E1	1,930849790E1
3,560000000E0	-1,184304427E1	1,926026849E1
3,600000000E0	-1,001032696E1	1,930849790E1
3,640000000E0	-7,647086214E0	1,916380969E1
3,680000000E0	-4,994469054E0	1,916380969E1
3,720000000E0	-2,438310699E0	1,921203909E1
3,760000000E0	6,961825267E-2	1,921203909E1
