mass_A
t	x	y
0,000000000E0	-1,687007387E2	2,726643508E1
4,000000000E-2	-1,685130456E2	2,732006169E1
8,000000000E-2	-1,686677511E2	2,712732097E1
1,200000000E-1	-1,688873140E2	2,711043152E1
1,600000000E-1	-1,690055401E2	2,736377333E1
2,000000000E-1	-1,689379823E2	2,705976316E1
2,400000000E-1	-1,690055401E2	2,727932606E1
2,800000000E-1	-1,689548718E2	2,739755224E1
3,200000000E-1	-1,688535351E2	2,739755224E1
3,600000000E-1	-1,687690878E2	2,766778351E1
4,000000000E-1	-1,682624042E2	2,758333624E1
4,400000000E-1	-1,678570572E2	2,753266788E1
4,800000000E-1	-1,675699365E2	2,756644679E1
5,200000000E-1	-1,668774689E2	2,748199951E1
5,600000000E-1	-1,663876747E2	2,741444170E1
6,000000000E-1	-1,657627649E2	2,743133115E1
6,400000000E-1	-1,649351817E2	2,741444170E1
6,800000000E-1	-1,639724828E2	2,741444170E1
7,200000000E-1	-1,631955679E2	2,726243661E1
7,600000000E-1	-1,621315322E2	2,709354206E1
8,000000000E-1	-1,612026122E2	2,732999443E1
8,400000000E-1	-1,600034610E2	2,736377333E1
8,800000000E-1	-1,587367519E2	2,704287370E1
9,200000000E-1	-1,575544901E2	2,695842643E1
9,600000000E-1	-1,563384494E2	2,744822061E1
1,000000000E0	-1,548015091E2	2,724554715E1
1,040000000E0	-1,532307898E2	2,717798934E1
1,080000000E0	-1,518796335E2	2,726243661E1
1,120000000E0	-1,501062408E2	2,704287370E1
1,160000000E0	-1,483835164E2	2,694153698E1
1,200000000E0	-1,469310233E2	2,695842643E1
1,240000000E0	-1,453265252E2	2,702598425E1
1,280000000E0	-1,437389165E2	2,700909479E1
1,320000000E0	-1,418472976E2	2,689086861E1
1,360000000E0	-1,399894576E2	2,694153698E1
1,400000000E0	-1,384694067E2	2,697531588E1
1,440000000E0	-1,364933406E2	2,704287370E1
1,480000000E0	-1,344666061E2	2,705976316E1
1,520000000E0	-1,328114395E2	2,711043152E1
1,560000000E0	-1,310887152E2	2,734688388E1
1,600000000E0	-1,293322119E2	2,726243661E1
1,640000000E0	-1,274743720E2	2,700909479E1
1,680000000E0	-1,254983058E2	2,680642134E1
1,720000000E0	-1,236404658E2	2,700909479E1
1,760000000E0	-1,219684099E2	2,704287370E1
1,800000000E0	-1,198910070E2	2,711043152E1
1,840000000E0	-1,180838354E2	2,697531588E1
1,880000000E0	-1,160571008E2	2,714421043E1
1,920000000E0	-1,140472558E2	2,743133115E1
1,960000000E0	-1,121218580E2	2,732999443E1
2,000000000E0	-1,100613446E2	2,739755224E1
2,040000000E0	-1,079332733E2	2,731310497E1
2,080000000E0	-1,056363075E2	2,731310497E1
2,120000000E0	-1,032886734E2	2,727932606E1
2,160000000E0	-1,010761549E2	2,731310497E1
2,200000000E0	-9,896497307E1	2,768467297E1
2,240000000E0	-9,688757019E1	2,776912024E1
2,280000000E0	-9,433726259E1	2,775223078E1
2,320000000E0	-9,227674916E1	2,760022569E1
2,360000000E0	-8,992911501E1	2,768467297E1
2,400000000E0	-8,759837032E1	2,768467297E1
2,440000000E0	-8,550407798E1	2,768467297E1
2,480000000E0	-8,337600674E1	2,790423587E1
2,520000000E0	-8,109593040E1	2,802246205E1
2,560000000E0	-7,903541697E1	2,817446714E1
2,600000000E0	-7,690734573E1	2,841091950E1
2,640000000E0	-7,491439012E1	2,851225623E1
2,680000000E0	-7,263431379E1	2,869804023E1
2,720000000E0	-7,054002145E1	2,863048241E1
2,760000000E0	-6,831061348E1	2,888382422E1
2,800000000E0	-6,611498442E1	2,898516095E1
2,840000000E0	-6,413891826E1	2,925539222E1
2,880000000E0	-6,168994739E1	2,945806567E1
2,920000000E0	-5,954498669E1	2,949184458E1
2,960000000E0	-5,740002599E1	2,974518639E1
3,000000000E0	-5,513683911E1	2,966073912E1
3,040000000E0	-5,321144132E1	2,967762858E1
3,080000000E0	-5,072869153E1	2,969451803E1
3,120000000E0	-4,824594175E1	2,993097039E1
3,160000000E0	-4,603342323E1	2,998163875E1
3,200000000E0	-4,382090472E1	3,016742275E1
3,240000000E0	-4,121992875E1	3,028564893E1
3,280000000E0	-3,899052078E1	3,069099584E1
3,320000000E0	-3,684556008E1	3,080922202E1
3,360000000E0	-3,461615211E1	3,116390056E1
3,400000000E0	-3,253874923E1	3,129901619E1
3,440000000E0	-3,020800453E1	3,155235801E1
3,480000000E0	-2,767458639E1	3,187325764E1
3,520000000E0	-2,576607805E1	3,189014709E1
3,560000000E0	-2,348600171E1	3,234616236E1
3,600000000E0	-2,083435739E1	3,259950417E1
3,640000000E0	-1,872317560E1	3,273461981E1
3,680000000E0	-1,678088835E1	3,300485108E1
3,720000000E0	-1,445014365E1	3,339330853E1
3,760000000E0	-1,188294660E1	3,369731870E1
3,800000000E0	-9,873101531E0	3,366353980E1
3,840000000E0	-7,508577926E0	3,400132888E1
3,880000000E0	-5,448064499E0	3,422089179E1
3,920000000E0	-2,931535805E0	3,452490197E1
3,960000000E0	-8,879118325E-1	3,471068596E1
4,000000000E0	1,172601595E0	3,504847505E1
