mass_A
t	x	y
0,000000000E0	-1,730658368E2	2,339432195E1
4,000000000E-2	-1,728494309E2	2,317791606E1
8,000000000E-2	-1,724887544E2	2,315387096E1
1,200000000E-1	-1,721040328E2	2,315387096E1
1,600000000E-1	-1,718154917E2	2,329814155E1
2,000000000E-1	-1,713826799E2	2,329814155E1
2,400000000E-1	-1,706372818E2	2,325005136E1
2,800000000E-1	-1,705891916E2	2,337027685E1
3,200000000E-1	-1,698197484E2	2,341836705E1
3,600000000E-1	-1,691464857E2	2,351454745E1
4,000000000E-1	-1,685213131E2	2,353859254E1
4,400000000E-1	-1,679682758E2	2,385117883E1
4,800000000E-1	-1,670064719E2	2,406758472E1
5,200000000E-1	-1,657801718E2	2,421185531E1
5,600000000E-1	-1,649385934E2	2,411567492E1
6,000000000E-1	-1,635199325E2	2,425994551E1
6,400000000E-1	-1,621493619E2	2,430803571E1
6,800000000E-1	-1,610913775E2	2,447635140E1
7,200000000E-1	-1,590234990E2	2,425994551E1
7,600000000E-1	-1,576288833E2	2,450039650E1
8,000000000E-1	-1,558976362E2	2,457253180E1
8,400000000E-1	-1,538778478E2	2,421185531E1
8,800000000E-1	-1,522187360E2	2,440421611E1
9,200000000E-1	-1,499825418E2	2,450039650E1
9,600000000E-1	-1,478665731E2	2,476489259E1
1,000000000E0	-1,458227397E2	2,493320828E1
1,040000000E0	-1,434903651E2	2,488511808E1
1,080000000E0	-1,413743964E2	2,524579457E1
1,120000000E0	-1,389458414E2	2,531792987E1
1,160000000E0	-1,364932413E2	2,519770437E1
1,200000000E0	-1,340406412E2	2,512556907E1
1,240000000E0	-1,312273646E2	2,514961417E1
1,280000000E0	-1,284621783E2	2,517365927E1
1,320000000E0	-1,257450821E2	2,512556907E1
1,360000000E0	-1,231241663E2	2,539006516E1
1,400000000E0	-1,201666191E2	2,570265145E1
1,440000000E0	-1,172571622E2	2,548624556E1
1,480000000E0	-1,144198405E2	2,551029066E1
1,520000000E0	-1,112458874E2	2,565456125E1
1,560000000E0	-1,081200246E2	2,579883184E1
1,600000000E0	-1,047296656E2	2,601523773E1
1,640000000E0	-1,015316675E2	2,591905734E1
1,680000000E0	-9,821344380E1	2,611141813E1
1,720000000E0	-9,470285936E1	2,630377892E1
1,760000000E0	-9,140868080E1	2,625568872E1
1,800000000E0	-8,760955517E1	2,613546323E1
1,840000000E0	-8,419515112E1	2,603928283E1
1,880000000E0	-8,068456668E1	2,603928283E1
1,920000000E0	-7,698162144E1	2,601523773E1
1,960000000E0	-7,323058601E1	2,594310244E1
2,000000000E0	-6,931123488E1	2,594310244E1
2,040000000E0	-6,584874063E1	2,606332793E1
2,080000000E0	-6,161680322E1	2,630377892E1
2,120000000E0	-5,767340699E1	2,620759853E1
2,160000000E0	-5,339337938E1	2,596714754E1
2,200000000E0	-4,916144197E1	2,644804952E1
2,240000000E0	-4,533827124E1	2,654422991E1
2,280000000E0	-4,062543184E1	2,623164363E1
2,320000000E0	-3,694653171E1	2,627973382E1
2,360000000E0	-3,223369231E1	2,620759853E1
2,400000000E0	-2,780939411E1	2,620759853E1
2,440000000E0	-2,321678021E1	2,611141813E1
2,480000000E0	-1,905697810E1	2,635186912E1
2,520000000E0	-1,460863479E1	2,630377892E1
2,560000000E0	-1,025647188E1	2,601523773E1
2,600000000E0	-5,687903085E0	2,618355343E1
