mass_A
t	x	y
0,000000000E0	-1,703772852E2	1,751615015E1
4,000000000E-2	-1,704631034E2	1,785942274E1
8,000000000E-2	-1,703772852E2	1,785942274E1
1,200000000E-1	-1,703772852E2	1,785942274E1
1,600000000E-1	-1,703772852E2	1,785942274E1
2,000000000E-1	-1,703772852E2	1,785942274E1
2,400000000E-1	-1,703772852E2	1,803105904E1
2,800000000E-1	-1,705489215E2	1,785942274E1
3,200000000E-1	-1,703772852E2	1,785942274E1
3,600000000E-1	-1,701198308E2	1,785942274E1
4,000000000E-1	-1,699481945E2	1,785942274E1
4,400000000E-1	-1,697765582E2	1,785942274E1
4,800000000E-1	-1,690041949E2	1,734451385E1
5,200000000E-1	-1,688325586E2	1,734451385E1
5,600000000E-1	-1,685751041E2	1,751615015E1
6,000000000E-1	-1,682318315E2	1,751615015E1
6,400000000E-1	-1,679743771E2	1,751615015E1
6,800000000E-1	-1,674594682E2	1,768778645E1
7,200000000E-1	-1,671161956E2	1,768778645E1
7,600000000E-1	-1,666012867E2	1,768778645E1
8,000000000E-1	-1,660005597E2	1,777360459E1
8,400000000E-1	-1,653140145E2	1,777360459E1
8,800000000E-1	-1,645416512E2	1,760196830E1
9,200000000E-1	-1,636834697E2	1,743033200E1
9,600000000E-1	-1,629111064E2	1,777360459E1
1,000000000E0	-1,624820156E2	1,777360459E1
1,040000000E0	-1,615380160E2	1,768778645E1
1,080000000E0	-1,606798345E2	1,760196830E1
1,120000000E0	-1,599074712E2	1,751615015E1
1,160000000E0	-1,587060171E2	1,743033200E1
1,200000000E0	-1,580194719E2	1,708705941E1
1,240000000E0	-1,571612904E2	1,700124126E1
1,280000000E0	-1,557023819E2	1,691542311E1
1,320000000E0	-1,549300186E2	1,708705941E1
1,360000000E0	-1,538143827E2	1,682960496E1
1,400000000E0	-1,526987467E2	1,665796867E1
1,440000000E0	-1,516689289E2	1,648633237E1
1,480000000E0	-1,505532930E2	1,631469608E1
1,520000000E0	-1,492660208E2	1,631469608E1
1,560000000E0	-1,481503849E2	1,622887793E1
1,600000000E0	-1,470347489E2	1,622887793E1
1,640000000E0	-1,457474767E2	1,605724163E1
1,680000000E0	-1,442885682E2	1,614305978E1
1,720000000E0	-1,430871141E2	1,597142348E1
1,760000000E0	-1,417998419E2	1,579978719E1
1,800000000E0	-1,406842060E2	1,554233274E1
1,840000000E0	-1,389678430E2	1,545651459E1
1,880000000E0	-1,378522071E2	1,511324200E1
1,920000000E0	-1,363074804E2	1,511324200E1
1,960000000E0	-1,348485719E2	1,502742385E1
2,000000000E0	-1,332180271E2	1,502742385E1
2,040000000E0	-1,318449367E2	1,494160571E1
2,080000000E0	-1,306434826E2	1,502742385E1
2,120000000E0	-1,290987560E2	1,494160571E1
2,160000000E0	-1,278114838E2	1,485578756E1
2,200000000E0	-1,260951208E2	1,485578756E1
2,240000000E0	-1,248936667E2	1,485578756E1
2,280000000E0	-1,232631219E2	1,476996941E1
2,320000000E0	-1,216325771E2	1,468415126E1
2,360000000E0	-1,200020323E2	1,459833311E1
2,400000000E0	-1,186289419E2	1,442669682E1
2,440000000E0	-1,171700334E2	1,459833311E1
2,480000000E0	-1,161402156E2	1,451251496E1
2,520000000E0	-1,145096708E2	1,442669682E1
2,560000000E0	-1,130507623E2	1,442669682E1
2,600000000E0	-1,114202175E2	1,451251496E1
2,640000000E0	-1,098754908E2	1,442669682E1
2,680000000E0	-1,085882186E2	1,442669682E1
2,720000000E0	-1,068718556E2	1,416924237E1
2,760000000E0	-1,055845834E2	1,408342422E1
2,800000000E0	-1,040398567E2	1,391178793E1
2,840000000E0	-1,024951300E2	1,382596978E1
2,880000000E0	-1,007787671E2	1,382596978E1
2,920000000E0	-9,931985857E1	1,365433348E1
2,960000000E0	-9,794676820E1	1,365433348E1
3,000000000E0	-9,648785968E1	1,365433348E1
3,040000000E0	-9,502895116E1	1,365433348E1
3,080000000E0	-9,348422449E1	1,339687904E1
3,120000000E0	-9,159622523E1	1,313942459E1
3,160000000E0	-9,030895301E1	1,322524274E1
3,200000000E0	-8,893586264E1	1,313942459E1
3,240000000E0	-8,747695412E1	1,253869756E1
3,280000000E0	-8,584640931E1	1,236706126E1
3,320000000E0	-8,430168264E1	1,219542496E1
3,360000000E0	-8,284277412E1	1,219542496E1
3,400000000E0	-8,104059301E1	1,185215237E1
3,440000000E0	-7,975332079E1	1,202378867E1
3,480000000E0	-7,803695782E1	1,219542496E1
3,520000000E0	-7,692132190E1	1,193797052E1
3,560000000E0	-7,503332264E1	1,176633422E1
3,600000000E0	-7,366023227E1	1,185215237E1
3,640000000E0	-7,220132375E1	1,202378867E1
3,680000000E0	-7,048496078E1	1,193797052E1
3,720000000E0	-6,894023412E1	1,168051607E1
3,760000000E0	-6,765296189E1	1,159469793E1
3,800000000E0	-6,602241708E1	1,159469793E1
3,840000000E0	-6,404859967E1	1,193797052E1
3,880000000E0	-6,224641856E1	1,228124311E1
3,920000000E0	-6,113078263E1	1,245287941E1
3,960000000E0	-5,950023782E1	1,245287941E1
4,000000000E0	-5,795551115E1	1,271033385E1
4,040000000E0	-5,658242078E1	1,271033385E1
4,080000000E0	-5,495187597E1	1,271033385E1
4,120000000E0	-5,323551300E1	1,288197015E1
4,160000000E0	-5,186242263E1	1,305360645E1
4,200000000E0	-5,040351411E1	1,313942459E1
4,240000000E0	-4,894460559E1	1,331106089E1
4,280000000E0	-4,757151522E1	1,339687904E1
4,320000000E0	-4,611260670E1	1,356851533E1
4,360000000E0	-4,465369819E1	1,365433348E1
4,400000000E0	-4,302315337E1	1,382596978E1
4,440000000E0	-4,147842670E1	1,399760608E1
4,480000000E0	-3,993370004E1	1,399760608E1
4,520000000E0	-3,838897337E1	1,425506052E1
4,560000000E0	-3,701588300E1	1,459833311E1
4,600000000E0	-3,538533818E1	1,459833311E1
4,640000000E0	-3,409806596E1	1,459833311E1
4,680000000E0	-3,263915744E1	1,459833311E1
4,720000000E0	-3,109443077E1	1,442669682E1
4,760000000E0	-2,954970411E1	1,442669682E1
4,800000000E0	-2,783334114E1	1,468415126E1
4,840000000E0	-2,654606892E1	1,476996941E1
4,880000000E0	-2,457225151E1	1,485578756E1
4,920000000E0	-2,362825188E1	1,511324200E1
4,960000000E0	-2,216934337E1	1,537069645E1
5,000000000E0	-2,053879855E1	1,545651459E1
