mass_A
t	x	y
0,000000000E0	-1,689218633E2	3,077026304E1
4,000000000E-2	-1,688147666E2	3,102729513E1
8,000000000E-2	-1,687290892E2	3,066316634E1
1,200000000E-1	-1,686434119E2	3,077026304E1
1,600000000E-1	-1,685791538E2	3,072742436E1
2,000000000E-1	-1,681936057E2	3,087735975E1
2,400000000E-1	-1,679794123E2	3,092019843E1
2,800000000E-1	-1,674010901E2	3,083452106E1
3,200000000E-1	-1,668656066E2	3,068458568E1
3,600000000E-1	-1,661373490E2	3,062032766E1
4,000000000E-1	-1,651520593E2	3,059890832E1
4,400000000E-1	-1,642524470E2	3,068458568E1
4,800000000E-1	-1,633956734E2	3,051323095E1
5,200000000E-1	-1,623675450E2	3,072742436E1
5,600000000E-1	-1,612109006E2	3,064174700E1
6,000000000E-1	-1,599899982E2	3,053465029E1
6,400000000E-1	-1,586191604E2	3,047039227E1
6,800000000E-1	-1,569912905E2	3,049181161E1
7,200000000E-1	-1,553848399E2	3,062032766E1
7,600000000E-1	-1,537141314E2	3,059890832E1
8,000000000E-1	-1,516150360E2	3,083452106E1
8,400000000E-1	-1,499443274E2	3,070600502E1
8,800000000E-1	-1,477595546E2	3,092019843E1
9,200000000E-1	-1,456390399E2	3,087735975E1
9,600000000E-1	-1,433685898E2	3,070600502E1
1,000000000E0	-1,408625269E2	3,057748898E1
1,040000000E0	-1,384207221E2	3,085594041E1
1,080000000E0	-1,357647238E2	3,064174700E1
1,120000000E0	-1,330873062E2	3,085594041E1
1,160000000E0	-1,304098886E2	3,066316634E1
1,200000000E0	-1,275396970E2	3,062032766E1
1,240000000E0	-1,242625378E2	3,070600502E1
1,280000000E0	-1,213280882E2	3,072742436E1
1,320000000E0	-1,177724776E2	3,083452106E1
1,360000000E0	-1,142811251E2	3,085594041E1
1,400000000E0	-1,109397079E2	3,100587579E1
1,440000000E0	-1,069557105E2	3,087735975E1
1,480000000E0	-1,031859066E2	3,126290788E1
1,520000000E0	-9,945894126E1	3,096303711E1
1,560000000E0	-9,547494389E1	3,070600502E1
1,600000000E0	-9,116965640E1	3,098445645E1
1,640000000E0	-8,697146561E1	3,096303711E1
1,680000000E0	-8,277327483E1	3,089877909E1
1,720000000E0	-7,823237459E1	3,102729513E1
1,760000000E0	-7,364863567E1	3,113439183E1
1,800000000E0	-6,889354203E1	3,104871447E1
1,840000000E0	-6,403135168E1	3,132716590E1
1,880000000E0	-5,848374243E1	3,102729513E1
1,920000000E0	-5,372864879E1	3,137000458E1
1,960000000E0	-4,858800701E1	3,119864986E1
2,000000000E0	-4,329742985E1	3,122006920E1
2,040000000E0	-3,777123993E1	3,124148854E1
2,080000000E0	-3,218079200E1	3,124148854E1
2,120000000E0	-2,665460209E1	3,128432722E1
2,160000000E0	-2,061434800E1	3,139142392E1
2,200000000E0	-1,487396468E1	3,137000458E1
2,240000000E0	-9,112162026E0	3,162703667E1
2,280000000E0	-3,050488597E0	3,147710129E1
2,320000000E0	4,124990551E0	3,147710129E1
