mass_A
t	x	y
0,000000000E0	-1,704111784E2	2,466000950E1
4,000000000E-2	-1,701727011E2	2,480309587E1
8,000000000E-2	-1,700534625E2	2,487463905E1
1,200000000E-1	-1,698865284E2	2,508926860E1
1,600000000E-1	-1,693141829E2	2,501772542E1
2,000000000E-1	-1,693380307E2	2,499387769E1
2,400000000E-1	-1,682887306E2	2,508926860E1
2,800000000E-1	-1,682171874E2	2,497002996E1
3,200000000E-1	-1,673825169E2	2,497002996E1
3,600000000E-1	-1,665478465E2	2,504157315E1
4,000000000E-1	-1,658324146E2	2,518465952E1
4,400000000E-1	-1,649977441E2	2,532774589E1
4,800000000E-1	-1,639007486E2	2,537544134E1
5,200000000E-1	-1,629229918E2	2,566161408E1
5,600000000E-1	-1,618736918E2	2,556622317E1
6,000000000E-1	-1,604189803E2	2,549467998E1
6,400000000E-1	-1,592027462E2	2,532774589E1
6,800000000E-1	-1,577480348E2	2,556622317E1
7,200000000E-1	-1,562456279E2	2,542313680E1
7,600000000E-1	-1,547432211E2	2,556622317E1
8,000000000E-1	-1,535746824E2	2,573315726E1
8,400000000E-1	-1,515714732E2	2,568546181E1
8,800000000E-1	-1,495921118E2	2,544698453E1
9,200000000E-1	-1,480658572E2	2,542313680E1
9,600000000E-1	-1,463726685E2	2,570930953E1
1,000000000E0	-1,438448093E2	2,587624363E1
1,040000000E0	-1,419369911E2	2,578085272E1
1,080000000E0	-1,400053251E2	2,573315726E1
1,120000000E0	-1,377874864E2	2,542313680E1
1,160000000E0	-1,355219522E2	2,573315726E1
1,200000000E0	-1,333995044E2	2,570930953E1
1,240000000E0	-1,307524066E2	2,597163454E1
1,280000000E0	-1,282722429E2	2,606702546E1
1,320000000E0	-1,260782519E2	2,594778682E1
1,360000000E0	-1,239081086E2	2,601933000E1
1,400000000E0	-1,215948790E2	2,601933000E1
1,440000000E0	-1,187808471E2	2,613856864E1
1,480000000E0	-1,164914652E2	2,623395955E1
1,520000000E0	-1,138920629E2	2,592393909E1
1,560000000E0	-1,109349446E2	2,597163454E1
1,600000000E0	-1,080732172E2	2,609087318E1
1,640000000E0	-1,058553785E2	2,606702546E1
1,680000000E0	-1,025643920E2	2,535159361E1
1,720000000E0	-1,004419442E2	2,513696406E1
1,760000000E0	-9,743713048E1	2,511311633E1
1,800000000E0	-9,541007359E1	2,535159361E1
1,840000000E0	-9,211908711E1	2,501772542E1
1,880000000E0	-8,913812110E1	2,539928907E1
1,920000000E0	-8,639563237E1	2,559007089E1
1,960000000E0	-8,374853455E1	2,570930953E1
2,000000000E0	-8,031446171E1	2,547083225E1
2,040000000E0	-7,750042980E1	2,566161408E1
2,080000000E0	-7,487717971E1	2,561391862E1
2,120000000E0	-7,177697506E1	2,551852771E1
2,160000000E0	-6,865292268E1	2,597163454E1
2,200000000E0	-6,571965212E1	2,590009136E1
2,240000000E0	-6,247636110E1	2,656782775E1
2,280000000E0	-5,971002465E1	2,640089365E1
2,320000000E0	-5,672905863E1	2,668706639E1
2,360000000E0	-5,386733126E1	2,675860957E1
2,400000000E0	-5,052864933E1	2,671091411E1
2,440000000E0	-4,723766286E1	2,704478231E1
2,480000000E0	-4,394667638E1	2,747404141E1
2,520000000E0	-4,072723309E1	2,759328005E1
2,560000000E0	-3,753163753E1	2,799869143E1
2,600000000E0	-3,447912833E1	2,787945279E1
2,640000000E0	-3,118814186E1	2,795099597E1
2,680000000E0	-2,806408948E1	2,833255962E1
2,720000000E0	-2,434384390E1	2,840410281E1
2,760000000E0	-2,150596425E1	2,795099597E1
2,800000000E0	-1,807189141E1	2,826101644E1
2,840000000E0	-1,490014357E1	2,847564599E1
2,880000000E0	-1,125144118E1	2,852334145E1
2,920000000E0	-7,793520605E0	2,811793007E1
2,960000000E0	-4,931793235E0	2,811793007E1
3,000000000E0	-9,492226445E-1	2,823716871E1
