mass_A
t	x	y
0,000000000E0	-1,717084506E2	2,799986894E1
4,000000000E-2	-1,717894223E2	2,786491610E1
8,000000000E-2	-1,712226203E2	2,794588780E1
1,200000000E-1	-1,707637807E2	2,805385007E1
1,600000000E-1	-1,706558184E2	2,797287837E1
2,000000000E-1	-1,702779505E2	2,770297269E1
2,400000000E-1	-1,694952240E2	2,772996326E1
2,800000000E-1	-1,690093938E2	2,759501042E1
3,200000000E-1	-1,685775447E2	2,778394439E1
3,600000000E-1	-1,672550069E2	2,778394439E1
4,000000000E-1	-1,664452898E2	2,767598212E1
4,400000000E-1	-1,655276105E2	2,740607644E1
4,800000000E-1	-1,645559501E2	2,770297269E1
5,200000000E-1	-1,632334122E2	2,772996326E1
5,600000000E-1	-1,616409687E2	2,775695383E1
6,000000000E-1	-1,603724120E2	2,786491610E1
6,400000000E-1	-1,586720063E2	2,791889723E1
6,800000000E-1	-1,571335439E2	2,805385007E1
7,200000000E-1	-1,553521664E2	2,781093496E1
7,600000000E-1	-1,532738927E2	2,775695383E1
8,000000000E-1	-1,513305718E2	2,762200099E1
8,400000000E-1	-1,491443358E2	2,762200099E1
8,800000000E-1	-1,470660621E2	2,762200099E1
9,200000000E-1	-1,448258449E2	2,775695383E1
9,600000000E-1	-1,425046561E2	2,778394439E1
1,000000000E0	-1,399135616E2	2,781093496E1
1,040000000E0	-1,373224670E2	2,797287837E1
1,080000000E0	-1,344614668E2	2,770297269E1
1,120000000E0	-1,316004666E2	2,783792553E1
1,160000000E0	-1,287124759E2	2,794588780E1
1,200000000E0	-1,256625417E2	2,786491610E1
1,240000000E0	-1,223696924E2	2,783792553E1
1,280000000E0	-1,189958714E2	2,775695383E1
1,320000000E0	-1,157300127E2	2,794588780E1
1,360000000E0	-1,120592955E2	2,797287837E1
1,400000000E0	-1,083076065E2	2,783792553E1
1,440000000E0	-1,048798044E2	2,797287837E1
1,480000000E0	-1,006962664E2	2,772996326E1
1,520000000E0	-9,691758686E1	2,789190667E1
1,560000000E0	-9,278802997E1	2,791889723E1
1,600000000E0	-8,871245422E1	2,799986894E1
1,640000000E0	-8,412405767E1	2,810783121E1
1,680000000E0	-7,985954794E1	2,832375575E1
1,720000000E0	-7,537911367E1	2,835074632E1
1,760000000E0	-7,108761337E1	2,799986894E1
1,800000000E0	-6,620232057E1	2,799986894E1
1,840000000E0	-6,134401835E1	2,802685951E1
1,880000000E0	-5,621581044E1	2,813482178E1
1,920000000E0	-5,127653652E1	2,799986894E1
1,960000000E0	-4,614832861E1	2,786491610E1
2,000000000E0	-4,053429049E1	2,808084064E1
2,040000000E0	-3,516316747E1	2,791889723E1
2,080000000E0	-3,003495957E1	2,816181234E1
2,120000000E0	-2,420499690E1	2,826977462E1
2,160000000E0	-1,869892104E1	2,835074632E1
2,200000000E0	-1,303090178E1	2,837773689E1
2,240000000E0	-6,634137183E0	2,853968030E1
2,280000000E0	-8,581556490E-1	2,856667086E1
