mass_A
t	x	y
0,000000000E0	-1,712509898E2	2,216043455E1
4,000000000E-2	-1,711551289E2	2,220836500E1
8,000000000E-2	-1,708435809E2	2,218439978E1
1,200000000E-1	-1,702684155E2	2,187285184E1
1,600000000E-1	-1,698610067E2	2,199267797E1
2,000000000E-1	-1,694296326E2	2,206457365E1
2,400000000E-1	-1,686627454E2	2,206457365E1
2,800000000E-1	-1,679677538E2	2,208853887E1
3,200000000E-1	-1,673446580E2	2,218439978E1
3,600000000E-1	-1,661703619E2	2,218439978E1
4,000000000E-1	-1,652836485E2	2,211250410E1
4,400000000E-1	-1,645407265E2	2,228026068E1
4,800000000E-1	-1,632466043E2	2,237612159E1
5,200000000E-1	-1,619764473E2	2,242405204E1
5,600000000E-1	-1,605145686E2	2,259180862E1
6,000000000E-1	-1,592444116E2	2,232819113E1
6,400000000E-1	-1,579742546E2	2,249594772E1
6,800000000E-1	-1,562727236E2	2,290335656E1
7,200000000E-1	-1,542117141E2	2,278353043E1
7,600000000E-1	-1,526539744E2	2,266370430E1
8,000000000E-1	-1,508565825E2	2,256784339E1
8,400000000E-1	-1,487716078E2	2,285542610E1
8,800000000E-1	-1,469262854E2	2,285542610E1
9,200000000E-1	-1,445057976E2	2,254387817E1
9,600000000E-1	-1,424687534E2	2,271163475E1
1,000000000E0	-1,404077440E2	2,278353043E1
1,040000000E0	-1,379632909E2	2,283146088E1
1,080000000E0	-1,355907336E2	2,280749565E1
1,120000000E0	-1,328107673E2	2,319093927E1
1,160000000E0	-1,301266620E2	2,331076540E1
1,200000000E0	-1,280656526E2	2,307111314E1
1,240000000E0	-1,252617212E2	2,309507836E1
1,280000000E0	-1,226015811E2	2,328680017E1
1,320000000E0	-1,197257540E2	2,328680017E1
1,360000000E0	-1,170176834E2	2,347852198E1
1,400000000E0	-1,140459954E2	2,359834811E1
1,440000000E0	-1,107627595E2	2,376610469E1
1,480000000E0	-1,079348628E2	2,383800037E1
1,520000000E0	-1,046755921E2	2,367024379E1
1,560000000E0	-1,013683909E2	2,369420901E1
1,600000000E0	-9,767774609E1	2,379006992E1
1,640000000E0	-9,446640581E1	2,362231334E1
1,680000000E0	-9,077576101E1	2,376610469E1
1,720000000E0	-8,694132486E1	2,414954831E1
1,760000000E0	-8,337050619E1	2,395782650E1
1,800000000E0	-7,888900894E1	2,364627856E1
1,840000000E0	-7,503060756E1	2,398179172E1
1,880000000E0	-7,122013663E1	2,381403514E1
1,920000000E0	-6,695432641E1	2,410161785E1
1,960000000E0	-6,261662051E1	2,402972218E1
2,000000000E0	-5,851856687E1	2,414954831E1
2,040000000E0	-5,415689575E1	2,417351353E1
2,080000000E0	-4,977125939E1	2,412558308E1
2,120000000E0	-4,550544917E1	2,402972218E1
2,160000000E0	-4,080826489E1	2,393386127E1
2,200000000E0	-3,654245466E1	2,381403514E1
2,240000000E0	-3,191716605E1	2,388593082E1
2,280000000E0	-2,753152970E1	2,393386127E1
2,320000000E0	-2,302606722E1	2,393386127E1
2,360000000E0	-1,801733500E1	2,386196560E1
2,400000000E0	-1,329618548E1	2,371817424E1
2,440000000E0	-8,622966420E0	2,383800037E1
2,480000000E0	-3,470442839E0	2,347852198E1
