mass_A
t	x	y
0,000000000E0	-1,693831636E2	2,653344828E1
4,000000000E-2	-1,691434646E2	2,538289320E1
8,000000000E-2	-1,688558258E2	2,552671259E1
1,200000000E-1	-1,686640667E2	2,595817074E1
1,600000000E-1	-1,680887891E2	2,614992992E1
2,000000000E-1	-1,676573310E2	2,619786972E1
2,400000000E-1	-1,670341136E2	2,624580951E1
2,800000000E-1	-1,666026555E2	2,600611054E1
3,200000000E-1	-1,655959198E2	2,648550849E1
3,600000000E-1	-1,651165218E2	2,638962890E1
4,000000000E-1	-1,641097861E2	2,614992992E1
4,400000000E-1	-1,635824484E2	2,629374931E1
4,800000000E-1	-1,625757127E2	2,696490644E1
5,200000000E-1	-1,608978199E2	2,725254521E1
5,600000000E-1	-1,600349035E2	2,730048500E1
6,000000000E-1	-1,590281678E2	2,715666562E1
6,400000000E-1	-1,578296730E2	2,739636459E1
6,800000000E-1	-1,560559006E2	2,730048500E1
7,200000000E-1	-1,545697669E2	2,754018398E1
7,600000000E-1	-1,527959945E2	2,730048500E1
8,000000000E-1	-1,514057404E2	2,730048500E1
8,400000000E-1	-1,498237272E2	2,734842480E1
8,800000000E-1	-1,482417140E2	2,739636459E1
9,200000000E-1	-1,460844232E2	2,701284623E1
9,600000000E-1	-1,444544701E2	2,734842480E1
1,000000000E0	-1,425368783E2	2,730048500E1
1,040000000E0	-1,406192865E2	2,782782275E1
1,080000000E0	-1,383661162E2	2,777988296E1
1,120000000E0	-1,362567652E2	2,801958193E1
1,160000000E0	-1,338597754E2	2,763606357E1
1,200000000E0	-1,318463040E2	2,777988296E1
1,240000000E0	-1,293534347E2	2,811546152E1
1,280000000E0	-1,272440837E2	2,825928091E1
1,320000000E0	-1,252306123E2	2,859485947E1
1,360000000E0	-1,229774419E2	2,849897988E1
1,400000000E0	-1,199092951E2	2,893043804E1
1,440000000E0	-1,178958237E2	2,902631763E1
1,480000000E0	-1,149714962E2	2,830722070E1
1,520000000E0	-1,126224462E2	2,821134111E1
1,560000000E0	-1,103213360E2	2,840310029E1
1,600000000E0	-1,070614300E2	2,854691968E1
1,640000000E0	-1,048082596E2	2,811546152E1
1,680000000E0	-1,020277515E2	2,821134111E1
1,720000000E0	-9,963076173E1	2,849897988E1
1,760000000E0	-9,661055464E1	2,830722070E1
1,800000000E0	-9,397386591E1	2,816340132E1
1,840000000E0	-9,085777923E1	2,782782275E1
1,880000000E0	-8,807727112E1	2,777988296E1
1,920000000E0	-8,496118444E1	2,792370234E1
1,960000000E0	-8,237243550E1	2,782782275E1
2,000000000E0	-7,935222841E1	2,821134111E1
2,040000000E0	-7,614026214E1	2,840310029E1
2,080000000E0	-7,355151321E1	2,840310029E1
2,120000000E0	-7,005190816E1	2,864279927E1
2,160000000E0	-6,698376128E1	2,845104009E1
2,200000000E0	-6,391561439E1	2,878661865E1
2,240000000E0	-6,075158792E1	2,864279927E1
2,280000000E0	-5,739580226E1	2,921807681E1
2,320000000E0	-5,456735435E1	2,912219722E1
2,360000000E0	-5,140332787E1	2,950571558E1
2,400000000E0	-4,823930140E1	2,988923394E1
2,440000000E0	-4,430823820E1	3,008099312E1
2,480000000E0	-4,143185050E1	2,955365537E1
2,520000000E0	-3,841164340E1	2,998511353E1
2,560000000E0	-3,515173734E1	3,060833087E1
2,600000000E0	-3,198771086E1	3,065627066E1
2,640000000E0	-2,791282828E1	3,032069209E1
2,680000000E0	-2,556377832E1	3,046451148E1
2,720000000E0	-2,177653451E1	3,036863189E1
2,760000000E0	-1,856456824E1	3,080009005E1
2,800000000E0	-1,482526422E1	3,065627066E1
2,840000000E0	-1,146947856E1	3,051245128E1
2,880000000E0	-7,778114342E0	3,008099312E1
2,920000000E0	-4,853786842E0	3,036863189E1
2,960000000E0	-7,309644642E-1	3,003305332E1
