mass_A
t	x	y
0,000000000E0	-1,713097006E2	2,201716804E1
4,000000000E-2	-1,713097006E2	2,213836196E1
8,000000000E-2	-1,716732823E2	2,183537718E1
1,200000000E-1	-1,716126854E2	2,244134674E1
1,600000000E-1	-1,717338793E2	2,213836196E1
2,000000000E-1	-1,718550732E2	2,159298935E1
2,400000000E-1	-1,716126854E2	2,207776500E1
2,800000000E-1	-1,712491036E2	2,183537718E1
3,200000000E-1	-1,704613432E2	2,183537718E1
3,600000000E-1	-1,699765676E2	2,201716804E1
4,000000000E-1	-1,698553736E2	2,177478022E1
4,400000000E-1	-1,694311950E2	2,183537718E1
4,800000000E-1	-1,687646284E2	2,171418326E1
5,200000000E-1	-1,685222406E2	2,189597413E1
5,600000000E-1	-1,677950771E2	2,207776500E1
6,000000000E-1	-1,668255258E2	2,213836196E1
6,400000000E-1	-1,662801532E2	2,189597413E1
6,800000000E-1	-1,654317958E2	2,171418326E1
7,200000000E-1	-1,644622446E2	2,189597413E1
7,600000000E-1	-1,633714993E2	2,219895891E1
8,000000000E-1	-1,622807541E2	2,177478022E1
8,400000000E-1	-1,613112028E2	2,153239240E1
8,800000000E-1	-1,599780698E2	2,159298935E1
9,200000000E-1	-1,588873246E2	2,153239240E1
9,600000000E-1	-1,577965794E2	2,122940761E1
1,000000000E0	-1,568270281E2	2,153239240E1
1,040000000E0	-1,550091194E2	2,177478022E1
1,080000000E0	-1,540395681E2	2,171418326E1
1,120000000E0	-1,524034503E2	2,153239240E1
1,160000000E0	-1,511915112E2	2,159298935E1
1,200000000E0	-1,496159903E2	2,177478022E1
1,240000000E0	-1,480404694E2	2,159298935E1
1,280000000E0	-1,467073364E2	2,110821370E1
1,320000000E0	-1,458589790E2	2,171418326E1
1,360000000E0	-1,437380856E2	2,159298935E1
1,400000000E0	-1,423443556E2	2,159298935E1
1,440000000E0	-1,413142073E2	2,171418326E1
1,480000000E0	-1,396780895E2	2,159298935E1
1,520000000E0	-1,385267473E2	2,165358631E1
1,560000000E0	-1,364058539E2	2,171418326E1
1,600000000E0	-1,346485421E2	2,165358631E1
1,640000000E0	-1,330730213E2	2,135060153E1
1,680000000E0	-1,310127248E2	2,159298935E1
1,720000000E0	-1,287706374E2	2,171418326E1
1,760000000E0	-1,264679531E2	2,165358631E1
1,800000000E0	-1,246500444E2	2,122940761E1
1,840000000E0	-1,223473600E2	2,080522892E1
1,880000000E0	-1,198628848E2	2,098701979E1
1,920000000E0	-1,184085579E2	2,062343805E1
1,960000000E0	-1,161664705E2	2,116881066E1
2,000000000E0	-1,140455771E2	2,086582588E1
2,040000000E0	-1,120458775E2	2,068403501E1
2,080000000E0	-1,096219993E2	2,062343805E1
2,120000000E0	-1,078040906E2	2,068403501E1
2,160000000E0	-1,059861819E2	2,086582588E1
2,200000000E0	-1,039864823E2	2,080522892E1
2,240000000E0	-1,019261858E2	2,092642283E1
2,280000000E0	-9,974469542E1	2,086582588E1
2,320000000E0	-9,774499587E1	2,080522892E1
2,360000000E0	-9,538171458E1	2,086582588E1
2,400000000E0	-9,289723938E1	2,086582588E1
2,440000000E0	-9,107933069E1	2,044164719E1
2,480000000E0	-8,895843723E1	2,038105023E1
2,520000000E0	-8,647396203E1	2,013866240E1
2,560000000E0	-8,356530813E1	2,086582588E1
2,600000000E0	-8,192919032E1	2,068403501E1
2,640000000E0	-7,992949077E1	2,074463197E1
2,680000000E0	-7,762680643E1	2,038105023E1
2,720000000E0	-7,550591297E1	2,074463197E1
2,760000000E0	-7,277904994E1	2,092642283E1
2,800000000E0	-7,071875344E1	2,086582588E1
2,840000000E0	-6,823427824E1	2,092642283E1
2,880000000E0	-6,623457868E1	2,080522892E1
2,920000000E0	-6,375010348E1	2,074463197E1
2,960000000E0	-6,126562828E1	2,098701979E1
3,000000000E0	-5,878115308E1	2,141119848E1
3,040000000E0	-5,647846875E1	2,110821370E1
3,080000000E0	-5,441817224E1	2,153239240E1
3,120000000E0	-5,247906965E1	2,159298935E1
3,160000000E0	-4,987340053E1	2,116881066E1
3,200000000E0	-4,769191011E1	2,110821370E1
3,240000000E0	-4,490445013E1	2,062343805E1
3,280000000E0	-4,302594449E1	2,074463197E1
3,320000000E0	-4,096564798E1	2,122940761E1
3,360000000E0	-3,860236669E1	2,129000457E1
3,400000000E0	-3,636027932E1	2,068403501E1
3,440000000E0	-3,223968630E1	2,086582588E1
3,480000000E0	-3,454237063E1	2,092642283E1
3,520000000E0	-3,017938979E1	2,147179544E1
3,560000000E0	-2,799789937E1	2,116881066E1
3,600000000E0	-2,521043939E1	2,116881066E1
3,640000000E0	-2,339253071E1	2,159298935E1
3,680000000E0	-2,096865246E1	2,135060153E1
3,720000000E0	-1,884775900E1	2,153239240E1
3,760000000E0	-1,678746249E1	2,153239240E1
3,800000000E0	-1,466656903E1	2,159298935E1
3,840000000E0	-1,212149687E1	2,165358631E1
3,880000000E0	-9,576424713E0	2,183537718E1
3,920000000E0	-7,273740381E0	2,225955587E1
3,960000000E0	-5,698219522E0	2,280492847E1
4,000000000E0	-3,213744321E0	2,232015282E1
4,040000000E0	-1,335238681E0	2,304731630E1
4,080000000E0	1,391624344E0	2,359268890E1
