mass_A
t	x	y
0,000000000E0	-1,688734827E2	2,467724326E1
4,000000000E-2	-1,690358494E2	2,462312100E1
8,000000000E-2	-1,691982162E2	2,462312100E1
1,200000000E-1	-1,689276049E2	2,500197678E1
1,600000000E-1	-1,686028714E2	2,473136551E1
2,000000000E-1	-1,686569937E2	2,440663199E1
2,400000000E-1	-1,682781379E2	2,462312100E1
2,800000000E-1	-1,682240156E2	2,413602072E1
3,200000000E-1	-1,673039373E2	2,451487650E1
3,600000000E-1	-1,663297368E2	2,521846579E1
4,000000000E-1	-1,655179030E2	2,478548776E1
4,400000000E-1	-1,650308027E2	2,483961002E1
4,800000000E-1	-1,640566021E2	2,419014298E1
5,200000000E-1	-1,633530128E2	2,440663199E1
5,600000000E-1	-1,618917120E2	2,483961002E1
6,000000000E-1	-1,611340005E2	2,483961002E1
6,400000000E-1	-1,596185774E2	2,478548776E1
6,800000000E-1	-1,592397216E2	2,462312100E1
7,200000000E-1	-1,567500979E2	2,489373227E1
7,600000000E-1	-1,558300196E2	2,473136551E1
8,000000000E-1	-1,546934523E2	2,494785452E1
8,400000000E-1	-1,530697847E2	2,483961002E1
8,800000000E-1	-1,513919949E2	2,511022128E1
9,200000000E-1	-1,496600828E2	2,494785452E1
9,600000000E-1	-1,477116816E2	2,527258804E1
1,000000000E0	-1,460338918E2	2,527258804E1
1,040000000E0	-1,439231239E2	2,511022128E1
1,080000000E0	-1,419206005E2	2,473136551E1
1,120000000E0	-1,398639549E2	2,478548776E1
1,160000000E0	-1,378614315E2	2,467724326E1
1,200000000E0	-1,363460084E2	2,446075424E1
1,240000000E0	-1,343434851E2	2,440663199E1
1,280000000E0	-1,320703504E2	2,386540946E1
1,320000000E0	-1,292018710E2	2,413602072E1
1,360000000E0	-1,273075921E2	2,354067594E1
1,400000000E0	-1,244932350E2	2,391953171E1
1,440000000E0	-1,224365893E2	2,440663199E1
1,480000000E0	-1,201634547E2	2,446075424E1
1,520000000E0	-1,172949753E2	2,462312100E1
1,560000000E0	-1,146429848E2	2,451487650E1
1,600000000E0	-1,117745054E2	2,478548776E1
1,640000000E0	-1,086895370E2	2,408189847E1
1,680000000E0	-1,067411359E2	2,424426523E1
1,720000000E0	-1,038185342E2	2,413602072E1
1,760000000E0	-1,003547100E2	2,451487650E1
1,800000000E0	-9,775684181E1	2,489373227E1
1,840000000E0	-9,499660689E1	2,435250974E1
1,880000000E0	-9,234461648E1	2,391953171E1
1,920000000E0	-8,844781424E1	2,381128720E1
1,960000000E0	-8,568757932E1	2,505609903E1
2,000000000E0	-8,227787736E1	2,386540946E1
2,040000000E0	-7,908466441E1	2,391953171E1
2,080000000E0	-7,529610668E1	2,402777622E1
2,120000000E0	-7,226526049E1	2,446075424E1
2,160000000E0	-6,928853656E1	2,381128720E1
2,200000000E0	-6,614944586E1	2,370304270E1
2,240000000E0	-6,225264362E1	2,478548776E1
2,280000000E0	-5,916767518E1	2,489373227E1
2,320000000E0	-5,543323970E1	2,489373227E1
2,360000000E0	-5,169880423E1	2,527258804E1
2,400000000E0	-4,823498001E1	2,511022128E1
2,440000000E0	-4,515001157E1	2,516434354E1
2,480000000E0	-4,109084257E1	2,532671030E1
2,520000000E0	-3,708579583E1	2,489373227E1
2,560000000E0	-3,410907189E1	2,543495480E1
2,600000000E0	-2,977929163E1	2,511022128E1
2,640000000E0	-2,582836713E1	2,527258804E1
2,680000000E0	-2,171507588E1	2,527258804E1
2,720000000E0	-1,781827364E1	2,565144382E1
2,760000000E0	-1,446269393E1	2,586793283E1
2,800000000E0	-1,029528043E1	2,565144382E1
2,840000000E0	-7,102067480E0	2,603029959E1
2,880000000E0	-2,934653974E0	2,543495480E1
2,920000000E0	1,124515026E0	2,548907706E1
