mass_A
t	x	y
0,000000000E0	-1,697535662E2	2,485285104E1
4,000000000E-2	-1,696102449E2	2,478119039E1
8,000000000E-2	-1,692280547E2	2,497228546E1
1,200000000E-1	-1,689414121E2	2,492451169E1
1,600000000E-1	-1,687264302E2	2,490062481E1
2,000000000E-1	-1,682964662E2	2,482896415E1
2,400000000E-1	-1,677470679E2	2,497228546E1
2,800000000E-1	-1,671260089E2	2,475730350E1
3,200000000E-1	-1,664094024E2	2,478119039E1
3,600000000E-1	-1,658838909E2	2,487673792E1
4,000000000E-1	-1,647612074E2	2,463786908E1
4,400000000E-1	-1,638296189E2	2,459009531E1
4,800000000E-1	-1,628502566E2	2,468564285E1
5,200000000E-1	-1,616320255E2	2,459009531E1
5,600000000E-1	-1,604137944E2	2,447066089E1
6,000000000E-1	-1,588133732E2	2,494839858E1
6,400000000E-1	-1,576429158E2	2,487673792E1
6,800000000E-1	-1,557797389E2	2,492451169E1
7,200000000E-1	-1,543704127E2	2,497228546E1
7,600000000E-1	-1,525072357E2	2,499617234E1
8,000000000E-1	-1,513606653E2	2,509171988E1
8,400000000E-1	-1,492825064E2	2,492451169E1
8,800000000E-1	-1,473954425E2	2,530670184E1
9,200000000E-1	-1,455800393E2	2,492451169E1
9,600000000E-1	-1,434779935E2	2,423179205E1
1,000000000E0	-1,412804001E2	2,437511335E1
1,040000000E0	-1,394888838E2	2,454232154E1
1,080000000E0	-1,368613265E2	2,444677401E1
1,120000000E0	-1,346876201E2	2,449454777E1
1,160000000E0	-1,321078366E2	2,456620843E1
1,200000000E0	-1,301013383E2	2,475730350E1
1,240000000E0	-1,274737810E2	2,470952973E1
1,280000000E0	-1,253000745E2	2,430345270E1
1,320000000E0	-1,222186665E2	2,442288712E1
1,360000000E0	-1,199255256E2	2,454232154E1
1,400000000E0	-1,174412896E2	2,451843466E1
1,440000000E0	-1,144554291E2	2,435122647E1
1,480000000E0	-1,117562111E2	2,425567893E1
1,520000000E0	-1,089614457E2	2,423179205E1
1,560000000E0	-1,059516983E2	2,411235763E1
1,600000000E0	-1,033241410E2	2,456620843E1
1,640000000E0	-1,005771493E2	2,394514944E1
1,680000000E0	-9,775849696E1	2,406458386E1
1,720000000E0	-9,472486266E1	2,416013139E1
1,760000000E0	-9,140458574E1	2,427956582E1
1,800000000E0	-8,815596948E1	2,396903632E1
1,840000000E0	-8,447738930E1	2,425567893E1
1,880000000E0	-8,072714847E1	2,418401828E1
1,920000000E0	-7,709634206E1	2,430345270E1
1,960000000E0	-7,341776188E1	2,416013139E1
2,000000000E0	-6,940476532E1	2,392126255E1
2,040000000E0	-6,527233434E1	2,416013139E1
2,080000000E0	-6,197594431E1	2,408847074E1
2,120000000E0	-5,770019203E1	2,389737567E1
2,160000000E0	-5,416493315E1	2,413624451E1
2,200000000E0	-5,024748413E1	2,349129863E1
2,240000000E0	-4,621060069E1	2,411235763E1
2,280000000E0	-4,267534182E1	2,418401828E1
2,320000000E0	-3,873400591E1	2,418401828E1
2,360000000E0	-3,495987819E1	2,420790516E1
2,400000000E0	-3,075578656E1	2,430345270E1
2,440000000E0	-2,669501623E1	2,420790516E1
2,480000000E0	-2,315975736E1	2,442288712E1
2,520000000E0	-1,929008211E1	2,408847074E1
2,560000000E0	-1,515765113E1	2,432733958E1
2,600000000E0	-1,124020211E1	2,427956582E1
2,640000000E0	-7,036110473E0	2,406458386E1
2,680000000E0	-2,736471303E0	2,413624451E1
2,720000000E0	1,515394099E0	2,408847074E1
