mass_A
t	x	y
0,000000000E0	-1,689768003E2	2,531884539E1
4,000000000E-2	-1,690106905E2	2,509855910E1
8,000000000E-2	-1,689768003E2	2,520022970E1
1,200000000E-1	-1,688073493E2	2,503077870E1
1,600000000E-1	-1,683498316E2	2,504772380E1
2,000000000E-1	-1,680278747E2	2,497994340E1
2,400000000E-1	-1,676042473E2	2,509855910E1
2,800000000E-1	-1,675025767E2	2,499688850E1
3,200000000E-1	-1,668586629E2	2,513244930E1
3,600000000E-1	-1,663333648E2	2,509855910E1
4,000000000E-1	-1,657572314E2	2,497994340E1
4,400000000E-1	-1,650285921E2	2,501383360E1
4,800000000E-1	-1,642491176E2	2,494605320E1
5,200000000E-1	-1,634357528E2	2,504772380E1
5,600000000E-1	-1,625207174E2	2,501383360E1
6,000000000E-1	-1,614701212E2	2,497994340E1
6,400000000E-1	-1,603517447E2	2,504772380E1
6,800000000E-1	-1,591994779E2	2,516633950E1
7,200000000E-1	-1,580302660E2	2,497994340E1
7,600000000E-1	-1,566238228E2	2,511550420E1
8,000000000E-1	-1,551834893E2	2,504772380E1
8,400000000E-1	-1,536584304E2	2,525106500E1
8,800000000E-1	-1,524214381E2	2,509855910E1
9,200000000E-1	-1,509133243E2	2,509855910E1
9,600000000E-1	-1,491679790E2	2,513244930E1
1,000000000E0	-1,476768103E2	2,508161400E1
1,040000000E0	-1,460331356E2	2,477660221E1
1,080000000E0	-1,444741865E2	2,481049241E1
1,120000000E0	-1,429321824E2	2,487827281E1
1,160000000E0	-1,410343313E2	2,486132771E1
1,200000000E0	-1,393737115E2	2,492910810E1
1,240000000E0	-1,376792016E2	2,481049241E1
1,280000000E0	-1,355610641E2	2,474271201E1
1,320000000E0	-1,338326640E2	2,477660221E1
1,360000000E0	-1,320025932E2	2,475965711E1
1,400000000E0	-1,299352911E2	2,474271201E1
1,440000000E0	-1,284102321E2	2,484438261E1
1,480000000E0	-1,268512830E2	2,494605320E1
1,520000000E0	-1,249195416E2	2,497994340E1
1,560000000E0	-1,226488983E2	2,511550420E1
1,600000000E0	-1,208357727E2	2,491216301E1
1,640000000E0	-1,188531960E2	2,492910810E1
1,680000000E0	-1,172942469E2	2,508161400E1
1,720000000E0	-1,153794506E2	2,503077870E1
1,760000000E0	-1,134138191E2	2,509855910E1
1,800000000E0	-1,116684738E2	2,511550420E1
1,840000000E0	-1,093469952E2	2,506466890E1
1,880000000E0	-1,075169245E2	2,509855910E1
1,920000000E0	-1,052801713E2	2,521717480E1
1,960000000E0	-1,031620339E2	2,526801009E1
2,000000000E0	-1,008744455E2	2,526801009E1
2,040000000E0	-9,879019821E1	2,508161400E1
2,080000000E0	-9,667206078E1	2,508161400E1
2,120000000E0	-9,457086844E1	2,489521791E1
2,160000000E0	-9,224938981E1	2,491216301E1
2,200000000E0	-9,031764847E1	2,479354731E1
2,240000000E0	-8,797922474E1	2,489521791E1
2,280000000E0	-8,609831869E1	2,474271201E1
2,320000000E0	-8,353960867E1	2,474271201E1
2,360000000E0	-8,157397713E1	2,467493161E1
2,400000000E0	-7,955751029E1	2,465798651E1
2,440000000E0	-7,723603166E1	2,450548062E1
2,480000000E0	-7,511789422E1	2,457326102E1
2,520000000E0	-7,318615288E1	2,459020612E1
2,560000000E0	-7,089856445E1	2,435297472E1
2,600000000E0	-6,888209761E1	2,421741393E1
2,640000000E0	-6,669617977E1	2,409879823E1
2,680000000E0	-6,469665803E1	2,431908452E1
2,720000000E0	-6,261241079E1	2,420046883E1
2,760000000E0	-6,042649296E1	2,406490803E1
2,800000000E0	-5,810501433E1	2,409879823E1
2,840000000E0	-5,607160239E1	2,392934723E1
2,880000000E0	-5,391957475E1	2,396323743E1
2,920000000E0	-5,156420592E1	2,370906094E1
2,960000000E0	-4,934439789E1	2,384462174E1
3,000000000E0	-4,727709575E1	2,387851194E1
3,040000000E0	-4,527757401E1	2,377684134E1
3,080000000E0	-4,292220518E1	2,372600604E1
3,120000000E0	-4,038044026E1	2,362433544E1
3,160000000E0	-3,807590672E1	2,377684134E1
3,200000000E0	-3,595776929E1	2,375989624E1
3,240000000E0	-3,344989456E1	2,382767664E1
3,280000000E0	-3,114536103E1	2,381073154E1
3,320000000E0	-2,894249810E1	2,386156684E1
3,360000000E0	-2,662101947E1	2,384462174E1
3,400000000E0	-2,414703494E1	2,411574333E1
3,440000000E0	-2,172388571E1	2,408185313E1
3,480000000E0	-1,967352867E1	2,440381002E1
3,520000000E0	-1,718259905E1	2,440381002E1
3,560000000E0	-1,492890081E1	2,433602962E1
3,600000000E0	-1,262436728E1	2,469187671E1
3,640000000E0	-1,028594355E1	2,482743751E1
3,680000000E0	-7,913629623E0	2,499688850E1
3,720000000E0	-5,693821589E0	2,536968069E1
3,760000000E0	-3,152056665E0	2,570858268E1
3,800000000E0	-1,152534925E0	2,587803368E1
3,840000000E0	1,067273109E0	2,613221017E1
